CustomerID,OrderID,OrderDate,Quantity,OrderPrice,Country,ProductCategory,ProductName,Discount,PaymentMethod,Customer_Rating
2003,56717,1/1/1970,1,80.00,Italy,Toys,Action Figure,0,Credit Card,1
1303,85713,1/28/2022,5,99.99,Nigeria,Clothing,Jeans,10,Credit Card,4
2138,72059,12/15/2022,7,50.00,UK,Books,Textbook,10,Cash,5
1511,35803,1/1/1970,3,50.00,Canada,Home & Kitchen,Mixer,7,Credit Card,1
4503,35554,1/1/1970,3,35.00,Saudi Arabia,Toys,Puzzle,5,Cash,3
1723,61215,10/26/2023,5,40.00,Spain,Clothing,Jacket,15,Cash,1
4452,31525,11/29/2022,2,80.00,China,Toys,Board Game,0,Debit Card,5
3743,59363,5/27/2023,2,80.00,Indonesia,Toys,Doll,7,Credit Card,3
2482,83392,2/13/2023,4,99.99,UK,Toys,Board Game,5,Debit Card,4
8346,84676,1/1/1970,5,10.00,Indonesia,Toys,Toy Car,0,Credit Card,2
1647,67261,1/1/1970,1,35.00,UK,Home & Kitchen,Toaster,7,Cash,3
2531,85348,1/1/1970,5,20.50,UAE,Toys,Board Game,15,Credit Card,1
4596,55613,1/1/1970,2,10.00,China,Home & Kitchen,Toaster,5,Debit Card,2
4573,63880,1/1/1970,2,35.00,Japan,Sports,Yoga Mat,15,Cash,4
1262,88555,8/19/2022,1,20.50,USA,Beauty,Moisturizer,7,Credit Card,2
5436,81812,1/1/1970,7,35.00,Nigeria,Electronics,Mobile Phone,7,Paypal,2
1199,36804,7/14/2022,3,50.00,Spain,Books,Comics,7,Credit Card,5
2389,66295,1/1/1970,1,50.00,Spain,Toys,Action Figure,5,Paypal,2
1927,56416,3/19/2022,2,70.00,Pakistan,Home & Kitchen,Pan Set,5,Debit Card,4
4696,31035,2/15/2023,2,40.00,Pakistan,Sports,Gym Gloves,15,Cash,4
9274,64267,1/1/1970,5,70.00,UAE,Toys,Board Game,0,Credit Card,5
1232,62178,1/1/1970,7,99.99,Australia,Sports,Yoga Mat,15,Credit Card,5
1529,39565,9/27/2023,5,10.00,Canada,Clothing,Cap,7,Cash,2
9274,31152,1/1/1970,2,40.00,Nigeria,Home & Kitchen,Pan Set,0,Credit Card,5
4608,74217,12/24/2022,3,20.50,South Africa,Clothing,Cap,7,Cash,5
1406,33200,4/16/2024,1,80.00,UK,Books,Magazine,7,Credit Card,2
1308,39280,1/5/2024,5,20.50,India,Home & Kitchen,Toaster,0,Paypal,5
9372,38239,1/1/1970,1,35.00,Pakistan,Home & Kitchen,Mixer,0,Credit Card,5
3385,78166,1/14/2023,1,40.00,Saudi Arabia,Clothing,Cap,0,Cash,2
3743,60128,12/29/2022,7,10.00,Italy,Toys,Puzzle,0,Debit Card,4
4010,67485,6/3/2024,3,80.00,India,Home & Kitchen,Pan Set,15,Debit Card,2
4257,64609,4/20/2024,3,35.00,UAE,Books,Comics,10,Credit Card,1
1963,71702,2/14/2023,5,99.99,France,Home & Kitchen,Toaster,7,Cash,1
4573,89728,1/17/2024,4,35.00,Nigeria,Electronics,Power Bank,5,Cash,1
1803,36967,5/4/2024,1,99.99,Nepal,Toys,Toy Car,10,Cash,3
9372,37592,1/1/1970,5,35.00,Germany,Toys,Action Figure,5,Paypal,3
2663,69914,11/5/2022,5,99.99,Pakistan,Sports,Cricket Bat,7,Cash,3
