CustomerID,OrderID,OrderDate,Quantity,OrderPrice,Country,ProductCategory,ProductName,Discount,PaymentMethod,1omerRating
2003,56717,,1,,Italy,Toys,Action Figure,0,Credit Card,1     
1303,85713,28/01/2022,5,99.99,Nigeria,Clothing,Jeans,10,Credit Card,  
2138,72059,15/12/2022,,50,UK,Books,Textbook,10,Cash,5            
1511,35803,,,50,Canada,Home & Kitchen,Mixer,,Credit Card,1                 
4503,35554,,,35,Saudi Arabia,Toys,Puzzle,5,Cash,3  
1723,61215,10/26/2023,,,Spain,Clothing,Jacket,15,Cash,   
4452,31525,29/11/2022,2,,China,Toys,Board Game,0,Debit Card,5
,59363,5/27/2023,2,,Indonesia,Toys,Doll,,,3  
2482,83392,2/13/2023,4,99.99,UK,Toys,Board Game,5,Debit Card,
,84676,,5,10,Indonesia,Toys,Toy Car,0,,  
1647,67261,,1,35,UK,Home & Kitchen,Toaster,,Cash,
2531,85348,,5,20.5,UAE,Toys,Board Game,15,Credit Card,1
4596,55613,,2,10,,Home & Kitchen,Toaster,5,Debit Card,
,63880,,2,35,Japan,Sports,Yoga Mat,15,Cash,4
1262,88555,8/19/2022,1,20.5,USA,Beauty,Moisturizer,,Credit Card,2
,81812,,,35,Nigeria,Electronics,Mobile Phone,,Paypal,2
1199,36804,14/07/2022,,50,Spain,Books,Comics,,Credit Card,
2389,66295,,1,50,Spain,Toys,Action Figure,5,Paypal,2
1927,56416,3/19/2022,2,N/A,,Home & Kitchen,Pan Set,5,Debit Card,4
4696,31035,15/02/2023,2,N/A,,Sports,Gym Gloves,15,Cash,4
,64267,,,,UAE,Toys,Board Game,0,Credit Card,5
1232,62178,,,99.99,Australia,Sports,Yoga Mat,15,Credit Card,5
1529,39565,27/09/2023,5,10,Canada,Clothing,Cap,,Cash,2
,31152,,2,,Nigeria,Home & Kitchen,Pan Set,0,Credit Card,5
4608,74217,24/12/2022,3,20.5,South Africa,Clothing,Cap,,Cash,5
1406,33200,4/16/2024,1,,UK,Books,Magazine,,,2
1308,39280,5/1/2024,5,20.5,India,Home & Kitchen,Toaster,0,Paypal,
,38239,,1,35,Pakistan,Home & Kitchen,Mixer,0,Credit Card,
3385,78166,14/01/2023,1,N/A,Saudi Arabia,Clothing,Cap,0,Cash,2
,60128,12/29/2022,,10,Italy,Toys,Puzzle,0,Debit Card,
4010,67485,3/6/2024,,,India,Home & Kitchen,Pan Set,15,Debit Card,2
4257,64609,20/04/2024,3,35,UAE,Books,Comics,10,Credit Card,
1963,71702,14/02/2023,,99.99,France,Home & Kitchen,Toaster,,Cash,1
,89728,17/01/2024,4,35,Nigeria,Electronics,Power Bank,5,Cash,1
1803,36967,4/5/2024,1,99.99,Nepal,Toys,Toy Car,10,,3
,37592,,,35,Germany,Toys,Action Figure,5,Paypal,
2663,69914,5/11/2022,5,99.99,,Sports,Cricket Bat,,,
,32389,,4,50,Nepal,Home & Kitchen,Pan Set,,,3
4303,51600,19/08/2022,,35,Bangladesh,Electronics,Laptop,0,Paypal,4
,65989,12/15/2023,2,,,Toys,Board Game,15,Debit Card,2
2020,33184,,4,10,Mexico,Books,Magazine,,,3
,85905,,5,N/A,Brazil,Books,Comics,15,Cash,
2984,67996,,,N/A,Japan,Clothing,Jacket,5,Cash,3
1492,60014,4/6/2022,1,20.5,Italy,Home & Kitchen,Vacuum Cleaner,10,,4
1888,37232,3/7/2023,2,N/A,Saudi Arabia,Sports,Football,10,Paypal,
1919,64453,23/01/2024,5,,Italy,Books,Comics,15,Credit Card,4
1230,31441,,,20.5,Nigeria,Home & Kitchen,Pan Set,,Credit Card,1
